"Bldg No","Building Name","Func Code","Total GSF","Unit Cost $/GSF","Bldg NASF","Efficiency %","Non-GSF","State NASF","AAG_NASF","Year Const","Year Ren","Year Aqud","Replacement Value","Auxil Value","Value Rvsd as of","FQI","Elig for Cap","Renovation Cost","Auxil Reno$","Codes Own","Status","A110","A210","A220","A250","A310","A410","A420","A440","A510","A520","A523","A530","A540","A550","A560","A570","A580","A610","A620","A630","A640","A650","A660","A670","A680","A710","A720","A730","A740","A750","A760","A770","A800","A900","A050_070","A050","A060","A070","A090","A050_900","bldg_nasf","A010","A020","A030","A040","A010_030","NUSF","EFFIC_NUSF"
"=TEXT(202,""000"")","REGENTS DRIVE PARKING GARAGE","6","533,481","81","19,939","4","472489","17659.37",,"1988",,,"$42,967,982","$38,055,558","1994","5","0.05","$2,148,399","$1,902,777","UM","1",,,,,"12058.76",,,,,"2700.88",,,,,,,,,,,,,,,,"457.07","257.24","4464.99",,,,,,,,,,,,"19938.94","19,939","77.72","488375.73","2024.53",,"490477.98","510416.92","96"
"=TEXT(204,""000"")","RESIDENTIAL FACILITIES BUILDING 204","6","869","285","776","89","868","775.55",,"1985",,,"$247,605","$247,605","1994","73","0.73","$180,752","$180,752","UM","1",,,,,"775.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"775.55","776",,,,,,"775.55","89"
"=TEXT(207,""000"")","RESIDENTIAL FACILITIES BUILDING 207","6","733","285","628","86","733","628.32",,"1969",,,"$208,988","$208,988","1994","73","0.73","$152,562","$152,562","UM","1",,,,,"628.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"628.32","628",,,,,,"628.32","86"
"=TEXT(213,""000"")","PLANT OPERATIONS & MAINT. STORAGE BLDG.2","7","504","322","499","99",,,,"1968",,,"$162,374","$0","1994","73","0.73","$118,533","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"499",,,,,,,,,,,,,"499","499",,,,,,"499","99"
"=TEXT(214,""000"")","PLANT OPERATIONS & MAINT. STORAGE BLDG.1","7","504","322","499","99",,,,"1968",,,"$162,374","$0","1994","73","0.73","$118,533","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"499",,,,,,,,,,,,,"499","499",,,,,,"499","99"
"=TEXT(218,""000"")","STADIUM DRIVE PARKING GARAGE","6","280,413","81","294","0","280413","293.88",,"1997",,,"$22,585,241","$22,585,241","1994","5","0.05","$1,129,262","$1,129,262","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"293.88",,,,,,,,,,,"293.88","294",,"269431.76","385.94",,"269817.7","270111.58","96"
"=TEXT(219,""000"")","ASTRONOMY LECTURE BUILDING","3","2,012","657","1,660","82",,,,"1979",,,"$1,321,346","$0","1994","73","0.73","$964,582","$0","UM","1",,"138.75",,,,,,,,,,,,,,,,,,,,,,,"1520.75",,,,,,,,,,,,,,,"1659.5","1,660","17.81",,"140.83",,"158.64","1818.14","90"
"=TEXT(220,""000"")","ASTRONOMY TRAILER","3","588","310","519","88",,,,"2000",,,"$182,150","$0","1994","25","0.25","$45,538","$0","UM","1",,"518.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"518.84","519",,,,,,"518.84","88"
"=TEXT(221,""000"")","ASTRONOMICAL OBSERVATORY","3","1,643","743","1,420","86",,,,"1964",,,"$1,221,522","$0","1994","73","0.73","$891,711","$0","UM","1",,,,"1006.22",,,,,,,,,,,,,,,,,,,,,"413.33",,,,,,,,,,,,,,,"1419.55","1,420",,"18","28",,"46","1465.55","89"
"=TEXT(223,""000"")","ENERGY RESEARCH FACILITY","1","61,324","743","44,238","72",,,,"1965",,,"$45,592,598","$0","1994","73","0.73","$33,282,597","$0","UM","1",,,,"32693.95","11543.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44237.83","44,238","70.23","7839.02","3832.53",,"11741.78","55979.61","91"
"=TEXT(224,""000"")","ATLANTIC BUILDING","1","240,189","651","130,922","55",,,,"1963","1996",,"$156,251,802","$0","1994","61","0.611","$95,456,691","$0","UM","1","10000.13","2502.43","2289.31","22514.63","70046.92","1525.23","523.05",,,,,"182.16",,,,,,,,,"238.4","500.52",,,,"7969.19",,"3087.58",,,,,,,"9542.82","4484.22","5058.6",,,"130922.37","130,922","1119.24","50472.71","31489.83","402.11","83081.78","214004.15","89"
"=TEXT(225,""000"")","KIM ENGINEERING BUILDING","1","167,906","651","83,582","50","994","495.15",,"2005",,,"$109,229,045","$647,089","1994","10","0.1","$10,922,904","$64,708","UM","1","5404.39","6421.88","2168.9","40933.37","24312.83",,,,,,,"293.93",,,,,,,,"495.15","96.25","1699.17",,,,"263.5",,"1492.24",,,,,,,,,,,,"83581.61","83,582","603.7","41670.67","23119.96",,"65394.33","148975.94","89"
"=TEXT(226,""000"")","EDWARD ST. JOHN LEARNING AND TEACHING CENTER","1","208,510","762","103,849","50","2506","1248.59",,"2017",,,"$158,896,606","$1,910,437","1994","0","0","$0","$0","UM","1","38263.19","27999.95",,,"11384.07","2524.98",,"401.19",,,,"748.91",,,,,,,,"1248.59","66.19","17819.86",,,"1962.7",,,"1429.19",,,,,,,,,,,,"103848.82","103,849","976.47","42459.68","39019.67",,"82455.82","186304.64","89"
"=TEXT(227,""000"")","JULL HALL","1","17,574","743","10,407","59",,,,"1954",,,"$13,065,754","$0","1994","73","0.73","$9,538,001","$0","UM","1","312","1459.36","186.67",,"4553.18",,,,,,,,,,,,,,"12.67",,,,,,,,,"1300.91",,,,,,,"2581.91","2581.91",,,,"10406.7","10,407","35.19","3385.39","1213.21","216.85","4633.79","15040.49","86"
"=TEXT(231,""000"")","MICROBIOLOGY BUILDING","1","88,285","682","49,786","56",,,,"1939","1988",,"$60,167,536","$0","1994","73","0.73","$43,922,301","$0","UM","1","1352.47","12674.48",,"21841.51","9514.78",,,,,,,,,,,"3302.31",,,,,,,,,,,,"130.93",,,,,,,"969.76","969.76",,,,"49786.24","49,786","911.78","14322.24","12861.68",,"28095.7","77881.94","88"
"=TEXT(232,""000"")","NYUMBURU CULTURAL CENTER","6","17,892","570","9,993","56","13156","7348",,"1969","1982",,"$10,198,337","$7,498,912","1994","73","0.73","$7,444,786","$5,474,205","UM","1",,,,,"3561.36","392.43",,,,,,,,,,,,,"224.48",,,"178.14",,"382.1","3037.36",,"1288.1","417.89",,,,,,,"511.24","511.24",,,,"9993.1","9,993","88.29","3481.71","1787.65","113.82","5357.65","15350.75","86"
"=TEXT(233,""000"")","SUSQUEHANNA HALL","1","53,478","508","34,178","64","212","135.97",,"1991",,,"$27,168,873","$108,086","1994","50","0.5","$13,584,437","$54,043","UM","1","9063.16",,,,"16561.26",,,,,,,,,,,,,,,"135.97",,,,,,,,,,,,,,,"8417.5","8417.5",,,,"34177.89","34,178","180.8","10109.7","2980.94",,"13271.44","47449.33","89"
"=TEXT(237,""000"")","GEOLOGY BUILDING","1","22,762","743","10,622","47",,,,"1969","1982",,"$16,922,724","$0","1994","73","0.73","$12,353,589","$0","UM","1",,"1902",,"3448.94","3895.77",,,,,,,,,,,,,,"490.17",,,"780.78",,,,,,"104.47",,,,,,,,,,,,"10622.13","10,622","163.57","4605.91","3095.05",,"7864.53","18486.66","81"
"=TEXT(238,""000"")","LEONARDTOWN 238","6","11,448","589","10,152","89","11448","10152",,"1972",,,"$6,738,075","$6,738,075","1994","73","0.73","$4,918,795","$4,918,795","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10152","0",,,"0",,"10152","10,152",,"0",,,"0","10152","89"
"=TEXT(239,""000"")","LEONARDTOWN 239","6","14,197","589","12,582","89","14197","12582",,"1972",,,"$8,356,084","$8,356,084","1994","73","0.73","$6,099,941","$6,099,941","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12582","0",,,"0",,"12582","12,582",,"0",,,"0","12582","89"
"=TEXT(240,""000"")","LEONARDTOWN 240","6","11,448","589","10,152","89","11448","10152",,"1972",,,"$6,738,075","$6,738,075","1994","73","0.73","$4,918,795","$4,918,795","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10152","0",,,"0",,"10152","10,152",,"0",,,"0","10152","89"
"=TEXT(241,""000"")","LEONARDTOWN 241","6","7,099","589","6,461","91","7099","6461",,"1972",,,"$4,178,336","$4,178,336","1994","73","0.73","$3,050,186","$3,050,186","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6461","0",,,"0",,"6461","6,461",,"0",,,"0","6461","91"
"=TEXT(242,""000"")","LEONARDTOWN 242","6","11,488","589","10,152","88","11488","10152",,"1972",,,"$6,761,618","$6,761,618","1994","73","0.73","$4,935,981","$4,935,981","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10152","0",,,"0",,"10152","10,152",,"0",,,"0","10152","88"
"=TEXT(243,""000"")","LEONARDTOWN 243","6","5,724","589","5,076","89","5724","5076",,"1972",,,"$3,369,038","$3,369,038","1994","73","0.73","$2,459,397","$2,459,397","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5076","0",,,"0",,"5076","5,076",,"0",,,"0","5076","89"
"=TEXT(244,""000"")","LEONARDTOWN 244","6","15,654","589","13,452","86","15654","13452",,"1982",,,"$9,213,647","$9,213,647","1994","73","0.73","$6,725,962","$6,725,962","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13452",,,,,,"13452","13,452",,"576","26",,"602","14054","90"
"=TEXT(245,""000"")","LEONARDTOWN 245","6","15,654","589","13,452","86","15654","13452",,"1982",,,"$9,213,647","$9,213,647","1994","73","0.73","$6,725,962","$6,725,962","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13452",,,,,,"13452","13,452",,"576","26",,"602","14054","90"
"=TEXT(246,""000"")","LEONARDTOWN 246","6","15,654","589","13,452","86","15654","13452",,"1982",,,"$9,213,647","$9,213,647","1994","73","0.73","$6,725,962","$6,725,962","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13452",,,,,,"13452","13,452",,"576","26",,"602","14054","90"
"=TEXT(247,""000"")","LEONARDTOWN 247","6","15,654","589","13,452","86","15654","13452",,"1982",,,"$9,213,647","$9,213,647","1994","73","0.73","$6,725,962","$6,725,962","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13452",,,,,,"13452","13,452",,"576","26",,"602","14054","90"
"=TEXT(248,""000"")","LEONARDTOWN 248","6","15,654","589","13,452","86","15654","13452",,"1982",,,"$9,213,647","$9,213,647","1994","73","0.73","$6,725,962","$6,725,962","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13452",,,,,,"13452","13,452",,"576","26",,"602","14054","90"
"=TEXT(249,""000"")","LEONARDTOWN 249","6","10,436","589","8,968","86","10436","8968",,"1982",,,"$6,142,431","$6,142,431","1994","73","0.73","$4,483,975","$4,483,975","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8968",,,,,,"8968","8,968",,"384","26",,"410","9378","90"
"=TEXT(250,""000"")","LEONARDTOWN COMMUNITY CENTER","6","7,280","570","3,660","50","7280","3660",,"1982",,,"$4,149,558","$4,149,558","1994","73","0.73","$3,029,177","$3,029,177","UM","1",,,,,"439",,,,,,,,,,,,,,,,,"416","340","176","1412",,,"227",,,,,,"650",,,,,,"3660","3,660","54","1691","1583",,"3328","6988","96"
"=TEXT(251,""000"")","DENTON AREA DINING HALL","6","44,065","545","33,519","76","44064","33519.16",,"1964","2012",,"$24,024,581","$24,024,581","1994","5","0.05","$1,201,229","$1,201,229","UM","1",,,,,"617.12",,,,,,,,,,,,,,,"32902.04",,,,,,,,,,,,,,,,,,,,"33519.16","33,519","38.22","3262.05","3773.43",,"7073.7","40592.86","92"
"=TEXT(252,""000"")","DENTON HALL","6","115,108","471","69,382","60","115108","69381.85",,"1964",,,"$54,200,304","$54,200,304","1994","73","0.73","$39,566,222","$39,566,222","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69381.85",,,,,,"69381.85","69,382","1110.84","23122.85","2639.06",,"26872.75","96254.6","84"
"=TEXT(253,""000"")","EASTON HALL","6","115,533","471","72,986","63","114437","72294",,"1965",,,"$54,400,421","$53,884,635","1994","73","0.73","$39,712,308","$39,335,784","UM","1","516",,,,"176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72294",,,,,,"72986","72,986","860","22126","2685",,"25671","98657","85"
"=TEXT(254,""000"")","ELKTON HALL","6","114,118","471","73,141","64","114118","73141",,"1966",,,"$53,734,148","$53,734,148","1994","73","0.73","$39,225,928","$39,225,928","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73141",,,,,,"73141","73,141","1127","21241","2681",,"25049","98190","86"
"=TEXT(255,""000"")","SCHOOL OF PUBLIC HEALTH BUILDING","1","240,408","651","151,266","63","20794","13083.71",,"1973","2010",,"$156,394,269","$13,527,287","1994","61","0.608","$95,146,118","$8,229,642","UM","1","15486","2870.38","673.06","21257.65","52454.81",,,,,"46592.57",,"113.9","6862.75",,,,,,,,"170.38","1562.3",,"893.06",,,,"2329.04",,,,,,,,,,,,"151265.9","151,266","529.6","45233.24","17110.28",,"62873.12","214139.02","89"
"=TEXT(256,""000"")","ELLICOTT HALL","6","118,303","471","71,736","61","114540","69454",,"1967",,,"$55,704,717","$53,933,035","1994","73","0.73","$40,664,443","$39,371,115","UM","1","1340.01",,,,"941.53",,,,,,,,,,,,,,,,,,,,,,,"45",,,,,,"69409",,,,,,"71735.54","71,736","2483","23605.51","3099",,"29187.51","100923.05","85"
"=TEXT(257,""000"")","ELLICOTT AREA DINING HALL","6","48,280","545","38,975","81","48280","38975.34",,"1967","1999",,"$26,322,894","$26,322,894","1994","73","0.73","$19,215,713","$19,215,713","UM","1",,,,,"1667.69",,,,,,,,,,,,,,,"30804.47","79.58",,,,,,"6423.6",,,,,,,,,,,,,"38975.34","38,975","72.36","1767.6","3882.88",,"5722.84","44698.18","93"
"=TEXT(258,""000"")","HAGERSTOWN HALL","6","119,561","471","73,837","62","119561","73837",,"1968",,,"$56,297,065","$56,297,065","1994","73","0.73","$41,096,857","$41,096,857","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73837",,,,,,"73837","73,837","1362","22925","4139",,"28426","102263","86"
"=TEXT(259,""000"")","LA PLATA HALL","6","132,943","471","81,195","61","130536","79725",,"1969",,,"$62,598,177","$61,464,864","1994","73","0.73","$45,696,669","$44,869,350","UM","1","1470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79725",,,,,,"81195","81,195","1638","24456","4658",,"30752","111947","84"
"=TEXT(295,""000"")","NORTH GATE (CAMPUS DRIVE & ROUTE 1)","7","122","322","74","61",,,,"1985",,,"$39,369","$0","1994","73","0.73","$28,740","$0","UM","1",,,,,"74.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.2","74",,,,,,"74.2","61"
"=TEXT(296,""000"")","BIOMOLECULAR SCIENCES BUILDING","1","39,400","774","24,966","63",,,,"1991",,,"$30,513,277","$0","1994","50","0.5","$15,256,639","$0","UM","1",,,,"12506.14","5413.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7045.9","7045.9",,,,"24966","24,966","153.43","5866.71","4460.34",,"10480.48","35446.48","90"
"=TEXT(297,""000"")","WEST GATE (PERF ARTS AND DENTON ON STADIUM DR/193)","7","78","322","54","69",,,,"1987",,,"$25,133","$0","1994","73","0.73","$18,347","$0","UM","1",,,,,"53.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.5","54",,,,,,"53.5","69"
"=TEXT(298,""000"")","PAINT BRANCH GATE (PAINT BRANCH DR AND 193)","7","78","322","54","69",,,,"2001",,,"$25,133","$0","1994","10","0.1","$2,513","$0","UM","1",,,,,"53.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.5","54",,,,,,"53.5","69"
"=TEXT(299,""000"")","GATE HOUSE","7","333","322","261","78",,,,"1941",,,"$107,122","$0","1994","73","0.73","$78,199","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"260.81",,,,,,,,,,,,"260.81","261",,,,,,"260.81","78"
"=TEXT(309,""000"")","INDOOR PRACTICE FACILITY","6","20,963","99","20,572","98","20963","20571.74",,"2001",,,"$2,078,090","$2,078,090","1994","10","0.1","$207,809","$207,809","UM","1",,,,,,,,,,"20571.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20571.74","20,572",,,,,,"20571.74","98"
"=TEXT(312,""000"")","GOLF COURSE CHEMICAL STORAGE BLDG","6","836","217","752","90","836","751.68",,"2007",,,"$181,283","$181,283","1994","5","0.05","$9,064","$9,064","UM","1",,,,,,,,,,"751.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"751.68","752",,,,,,"751.68","90"
"=TEXT(313,""000"")","GOLF COURSE STORAGE BUILDING 1","6","200","217","176","88","200","175.67",,"1967",,,"$43,369","$43,369","1994","73","0.73","$31,659","$31,659","UM","1",,,,,,,,,,"175.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175.67","176",,,,,,"175.67","88"
"=TEXT(314,""000"")","GOLF COURSE REPAIR SHOP","6","2,481","217","2,320","94","2480","2320.25",,"1960",,,"$537,899","$537,899","1994","73","0.73","$392,666","$392,666","UM","1",,,,,,,,,,"2320.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2320.25","2,320",,,,,,"2320.25","94"
"=TEXT(318,""000"")","GOLF COURSE TOILET FACILITY","6","125","217","48","38","125","47.67",,"1963",,,"$27,190","$27,190","1994","73","0.73","$19,849","$19,849","UM","1",,,,,,,,,,"47.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47.67","48",,,"44.44",,"44.44","92.11","73"
"=TEXT(319,""000"")","GOLF COURSE STORAGE BUILDING","6","979","217","890","91","979","889.83",,"1966",,,"$212,376","$212,376","1994","73","0.73","$155,035","$155,035","UM","1",,,,,,,,,,"889.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"889.83","890",,,,,,"889.83","91"
"=TEXT(320,""000"")","GOLF COURSE FERTILIZER SHED","6","1,008","217","917","91","1007","916.72",,"1969",,,"$218,472","$218,472","1994","73","0.73","$159,485","$159,485","UM","1",,,,,,,,,,"916.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"916.72","917",,,,,,"916.72","91"
"=TEXT(327,""000"")","GROUNDS HERBICIDE/PESTICIDE STG. BLDG.","7","235","322","191","81",,,,"1988",,,"$75,710","$0","1994","73","0.73","$55,268","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"191.34",,,,,,,,,,,,,"191.34","191",,,,,,"191.34","81"
"=TEXT(328,""000"")","GROUNDS OPERATIONS & MAINTENANCE BLDG.","7","3,157","322","2,797","89",,,,"1988",,,"$1,017,093","$0","1994","73","0.73","$742,478","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"1861.34",,"936",,,,,,,,,,,"2797.34","2,797",,,,,,"2797.34","89"
"=TEXT(338,""000"")","CHESAPEAKE BUILDING","4","52,555","508","39,408","75",,,,"1991",,,"$26,699,954","$0","1994","50","0.5","$13,349,977","$0","UM","1",,,,,"37747.03",,,,,,,,,,,,,,,,,,,,"1154.1",,,,,,,,,,"506.69","506.69",,,,"39407.82","39,408","240.81","5227.47","2886.76",,"8355.04","47762.86","91"
"=TEXT(344,""000"")","ENVIRONMENTAL SERVICE FACILITY","7","7,752","496","6,253","81",,,,"1985",,,"$3,842,296","$0","1994","73","0.73","$2,804,876","$0","UM","1",,,,,"557.18",,,,,,,,,,,,,,,,,,,,,,,,,,,"4802.78",,,"893.44","893.44",,,,"6253.4","6,253",,"512.83","445.84",,"958.67","7212.07","93"
"=TEXT(360,""000"")","XFINITY CENTER","6","473,559","446","255,074","54","473028","254788.13",,"2002",,,"$211,246,349","$211,009,598","1994","10","0.1","$21,124,635","$21,100,959","UM","1",,,"1215.81",,"32881.46",,,,,"74041.8","115693.92",,,,,,,,,"23147.21",,,"2361.73",,,,,"362.78",,"5143.74",,,,,"225.55","225.55",,,,"255074","255,074","1755.15","119496.63","54361.47",,"175613.25","430687.25","91"
"=TEXT(361,""000"")","TYSER TOWER","6","81,504","774","43,766","54","81504","43766.41",,"1991","2010",,"$63,120,888","$63,120,888","1994","5","0.05","$3,156,044","$3,156,044","UM","1",,,,,"2245.02",,,,,"8941.56","28794.51",,,,,,,,,"2955.81",,,"829.51",,,,,,,,,,,,,,,,,"43766.41","43,766","166.96","17687.02","7562.75",,"25416.73","69183.14","85"
"=TEXT(362,""000"")","MARYLAND STADIUM CONCESSIONS 1","6","5,545","399","500","9","5544","500.2",,"1991",,,"$2,212,433","$2,212,433","1994","50","0.5","$1,106,216","$1,106,216","UM","1",,,,,,,,,,,,,,,,,,,,,,,"500.2",,,,,,,,,,,,,,,,,"500.2","500","78.22",,"3635.15",,"3713.37","4213.57","76"
"=TEXT(363,""000"")","MARYLAND STADIUM CONCESSIONS 2","6","2,663","399","1,274","48","2662","1273.84",,"1991",,,"$1,062,426","$1,062,426","1994","50","0.5","$531,213","$531,213","UM","1",,,,,,,,,,"266.02",,,,,,,,,,,,,"1007.82",,,,,,,,,,,,,,,,,"1273.84","1,274","32",,"823.99",,"855.99","2129.83","80"
"=TEXT(364,""000"")","MARYLAND STADIUM CONCESSIONS 3","6","2,705","399","1,297","48","2704","1296.73",,"1991",,,"$1,079,248","$1,079,248","1994","50","0.5","$539,624","$539,624","UM","1",,,,,,,,,,"259.11",,,,,,,,,,,,,"1037.62",,,,,,,,,,,,,,,,,"1296.73","1,297","31.92",,"851.01",,"882.93","2179.66","81"
"=TEXT(365,""000"")","MARYLAND STADIUM CONCESSIONS 4","6","11,193","399","3,164","28","11192","3163.55",,"1995",,,"$4,465,870","$4,465,870","1994","50","0.5","$2,232,935","$2,232,935","UM","1",,,,,,,,,,,,,,,,,,,,,,,"3163.55",,,,,,,,,,,,,,,,,"3163.55","3,164","189.95",,"5941.82",,"6131.77","9295.32","83"
"=TEXT(366,""000"")","MARYLAND STADIUM TICKET BOOTH","6","251","399","210","84","250","209.89",,"1995",,,"$99,964","$99,964","1994","50","0.5","$49,982","$49,982","UM","1",,,,,,,,,,"209.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"209.89","210",,,,,,"209.89","84"
"=TEXT(367,""000"")","MARYLAND STADIUM CONCESSIONS 5","6","9,159","399","2,271","25","9158","2271.43",,"1995",,,"$3,654,252","$3,654,252","1994","50","0.5","$1,827,126","$1,827,126","UM","1",,,,,,,,,,"582.98",,,,,,,,,,,,,"1688.45",,,,,,,,,,,,,,,,,"2271.43","2,271","156.56",,"5084.81",,"5241.37","7512.8","82"
"=TEXT(368,""000"")","MARYLAND STADIUM BUILDING (UPPER DECK)","6","111,596","297","9,056","8","111596","9055.53",,"1995",,,"$33,187,343","$33,187,343","1994","50","0.5","$16,593,672","$16,593,672","UM","1",,,,,"245",,,,,"888.94",,,,,,,,,,"6939.1",,,"982.49",,,,,,,,,,,,,,,,,"9055.53","9,056","370.28","211.86","9745.05",,"10327.19","19382.72","17"
"=TEXT(369,""000"")","MARYLAND STADIUM MAINTENANCE BUILDING","6","4,254","399","3,641","86","4253","3641.08",,"1995",,,"$1,697,301","$1,697,301","1994","50","0.5","$848,650","$848,650","UM","1",,,,,"289.89",,,,,"3195.94",,,,,,,,,,,,"155.25",,,,,,,,,,,,,,,,,,"3641.08","3,641",,,,,,"3641.08","86"
"=TEXT(370,""000"")","MARYLAND STADIUM CONCESSIONS 6","6","5,283","399","634","12","5283","634.33",,"1995",,,"$2,107,900","$2,107,900","1994","50","0.5","$1,053,950","$1,053,950","UM","1",,,,,,,,,,"634.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"634.33","634","31.11",,"3366.28",,"3397.39","4031.72","76"
"=TEXT(379,""000"")","GOSSETT FOOTBALL TEAM HOUSE","6","63,914","483","46,906","73","63914","46905.87",,"1992","2002",,"$30,886,831","$30,886,831","1994","10","0.1","$3,088,683","$3,088,683","UM","1",,,"2201.48",,"6985.79","462.65",,,,"35461.21",,,,,,,,,,"1794.74",,,,,,,,,,,,,,,,,,,,"46905.87","46,906","260.8","6510.77","4017.34",,"10788.91","57694.78","90"
"=TEXT(381,""000"")","CENTER FOR YOUNG CHILDREN","6","10,645","657","9,239","87","9016","7825.27",,"1993",,,"$6,990,911","$5,921,409","1994","50","0.5","$3,495,455","$2,960,704","UM","1",,,,"103.02","1299.49",,,,,,,,,"7836.13",,,,,,,,,,,,,,,,,,,,,,,,,,"9238.64","9,239","48.32","381.34","127.3",,"556.96","9795.6","92"
"=TEXT(382,""000"")","NEUTRAL BUOYANCY RESEARCH FACILITY","3","14,330","805","9,808","68",,,,"1992",,,"$11,541,763","$0","1994","50","0.5","$5,770,882","$0","UM","1",,,,"8160","1080.06",,,,,,,,,,,,,,,,,,,,,,,"568.01",,,,,,,,,,,,"9808.07","9,808","36.57","565.91","319.65",,"922.13","10730.2","75"
"=TEXT(386,""000"")","CLARICE SMITH PERFORMING ARTS CENTER","1","342,230","706","185,700","54","4514","2449.77",,"2000",,,"$241,716,084","$3,188,730","1994","25","0.25","$60,429,021","$797,182","UM","1","1456.5","54722.03","6269.29","136.63","38282.65","390.79","15775.74","2392.69",,,,,,,,,,"53724.94","1440.51","2418.94","108.73","2164.38",,,,,"360.69","6055.95",,,,,,,,,,,,"185700.46","185,700","480.43","64253.37","31350.68",,"96084.48","281784.94","82"
"=TEXT(387,""000"")","HERBERT RABIN TECHNOLOGY ADVANCEMENT BUILDING","3","33,119","774","21,099","64",,,,"1998",,,"$25,648,965","$0","1994","25","0.25","$6,412,241","$0","UM","1",,,,"13313.41","7506.49",,,,,,,,,,,,,,,,,"279.54",,,,,,,,,,,,,,,,,,"21099.44","21,099","168.32","5493.3","2285.82",,"7947.44","29046.88","88"
"=TEXT(388,""000"")","KEHOE TRACK AT LUDWIG FIELD","6","4,365","558","3,113","71","4365","3112.64",,"1995",,,"$2,433,971","$2,433,971","1994","50","0.5","$1,216,985","$1,216,985","UM","1",,,,,,,,,,"3112.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3112.64","3,113","24",,"677.64",,"701.64","3814.28","87"
"=TEXT(389,""000"")","TRACK & SOCCER FIELD TICKET BOOTH","6","128","558","83","65","128","83.31",,"1995",,,"$71,423","$71,423","1994","50","0.5","$35,712","$35,712","UM","1",,,,,,,,,,"83.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83.31","83",,,,,,"83.31","65"
"=TEXT(392,""000"")","SATELLITE CENTRAL UTILITIES BUILDING (SCUB 3)","7","13,240","1425","5,765","44",,,,"1998",,,"$18,866,809","$0","1994","25","0.25","$4,716,702","$0","UM","1",,,,,"102",,,,,,,,,,,,,,,,,,,,,,"5662.55",,,,,,,,,,,,,"5764.55","5,765",,"506.7","8632.21",,"9138.91","14903.46","113"
"=TEXT(394,""000"")","SAMPLE PREPARATION BUILDING (PAINT BRANCH)","3","912","217","598","66",,,,"2005",,,"$197,763","$0","1994","10","0.1","$19,776","$0","UM","1",,,,"597.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"597.97","598",,,,,,"597.97","66"
