"Bldg No","Building Name","Func Code","Total GSF","Unit Cost $/GSF","Bldg NASF","Efficiency %","Non-GSF","State NASF","AAG_NASF","Year Const","Year Ren","Year Aqud","Replacement Value","Auxil Value","Value Rvsd as of","FQI","Elig for Cap","Renovation Cost","Auxil Reno$","Codes Own","Status","A110","A210","A220","A250","A310","A410","A420","A440","A510","A520","A523","A530","A540","A550","A560","A570","A580","A610","A620","A630","A640","A650","A660","A670","A680","A710","A720","A730","A740","A750","A760","A770","A800","A900","A050_070","A050","A060","A070","A090","A050_900","bldg_nasf","A010","A020","A030","A040","A010_030","NUSF","EFFIC_NUSF"
"=TEXT(034,""000"")","JIMENEZ HALL","1","65,321","582","38,599","59",,,,"1962",,,"$38,041,996","$0","1994","73","0.73","$27,770,657","$0","UM","1","14795.22",,"845.87","569.37","21638.52",,,,,,,,,,,,,,,,,"524.61",,,,,,"225.87",,,,,,,,,,,,"38599.46","38,599","419.89","12734.67","4695.85","473.95","17850.41","56449.87","86"
"=TEXT(035,""000"")","MCKELDIN LIBRARY","5","365,865","489","258,663","71","1178","833.18",,"1958","1990",,"$179,073,193","$576,812","1994","73","0.73","$130,723,431","$421,072","UM","1",,,"1019.24",,"57088.93","44726.38","133730.06","15628.78",,,,"226.67",,,,,,,,"833.18","59.61","707.36","1052.5",,,"2589.3",,"582.83",,,,,,,"418.63","418.63",,,,"258663.47","258,663","1208.24","34766.43","36893.84",,"72868.51","331531.98","91"
"=TEXT(036,""000"")","PLANT SCIENCES BUILDING","1","178,661","651","102,051","57",,,,"1996",,,"$116,225,569","$0","1994","25","0.25","$29,056,392","$0","UM","1","11215.59","10934.19","2694.61","50070.59","24132.59",,,,,,,"219.36",,,,"97.67",,,,,,"1144.38",,,"1164.95",,"376.62",,,,,,,,,,,,,"102050.55","102,051","1152.69","32092.42","25336.64",,"58581.75","160632.3","90"
"=TEXT(037,""000"")","SHOEMAKER BUILDING","1","25,521","657","13,831","54","24","13.5",,"1932","2010",,"$16,760,469","$16,359","1994","5","0.05","$838,023","$817","UM","1","2293.76",,"288.16",,"7139.3",,,,,,,,"3758.26",,,,,,,"13.5",,"131.1",,,,,,"206.57",,,,,,,,,,,,"13830.65","13,831","99.32","4032.89","2322.05",,"6454.26","20284.91","79"
"=TEXT(038,""000"")","LEFRAK HALL","1","118,953","533","68,997","58",,,,"1928","1978",,"$63,380,618","$0","1994","73","0.73","$46,267,851","$0","UM","1","7596.65","2105.95","3010.14","13317.43","35844.39","805.21",,"76.74",,,,"227.01","4530.54",,,,,,,,,"951.13",,,,"411.06",,"120.43",,,,,,,,,,,,"68996.68","68,997","318.11","17097.55","17911.59","292.19","35327.25","104323.93","88"
"=TEXT(039,""000"")","VAN MUNCHING HALL","1","290,787","533","157,581","54","9681","5246.32",,"1992","2011",,"$154,937,327","$5,158,310","1994","29","0.285","$44,160,977","$1,470,246","UM","1","32847.22",,"4959.01","734.92","102227.28","3693.09",,,,,,"871.89",,,,,,,,"2939.28","32.83","2525.29","245.64",,"3633.23","1068.46",,"1770.52",,"32.15",,,,,,,,,,"157580.81","157,581","1997.91","61712.65","31583.47",,"95294.03","252874.84","87"
"=TEXT(040,""000"")","MORRILL HALL","1","16,277","657","10,709","66",,,,"1898","1994",,"$10,689,634","$0","1994","73","0.73","$7,803,433","$0","UM","1",,,"209.31","1061.88","9437.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10708.64","10,709","71.37","1723.74","966.07","117.71","2761.18","13469.82","83"
"=TEXT(042,""000"")","TYDINGS HALL","1","101,945","533","62,125","61","1524","928.89",,"1961",,,"$54,318,404","$812,167","1994","73","0.73","$39,652,435","$592,882","UM","1","17555.28",,"960.37","406.61","41779.82","502.77",,,,,,"174.25",,,,,,,,"436.56","37.92",,,,,"248.55",,"22.75",,,,,,,,,,,,"62124.88","62,125","522.01","20503.47","7659.06",,"28684.54","90809.42","89"
"=TEXT(043,""000"")","TALIAFERRO HALL","1","47,870","620","27,548","58",,,,"1909","2003",,"$29,658,286","$0","1994","52","0.519","$15,397,588","$0","UM","1","2476.95",,"83.26","2860.27","19132.68",,"1243.76","617.78",,,,,,,,,,,,,"154.13","357.39",,,,,,"622.08",,,,,,,,,,,,"27548.3","27,548","153.7","10383.25","3296.83",,"13833.78","41382.08","86"
"=TEXT(044,""000"")","SKINNER BUILDING","1","67,192","582","32,690","49","65","31.67",,"1917","1992",,"$39,131,843","$37,911","1994","50","0.5","$19,565,922","$18,955","UM","1","6473.68",,"494.25","4820.64","19158.13",,"186.54",,,,,,,,,"381.17",,,,"31.67",,"531.19",,,,,,,,,,,,,"612.25","612.25",,,,"32689.52","32,690","197.75","11779.41","10617.25",,"22594.41","55283.93","82"
